Calendar Year,ACT,WA,NSW,VIC,QLD,NT,SA,TAS
2015,1082.3478260869565,1000.4797872340425,1004.2947813822285,1025.642857142857,992.8319697923222,789.6506849315068,1001.2503816793893,968.1645569620254
2016,1081.8103448275863,1004.491043203372,1003.6679550245959,1025.4287826515524,992.6039975015615,774.3312883435583,1003.5176110260337,970.7071129707113
2017,1081.1478260869565,1002.2703549060543,1002.7137858642408,1026.2732160312805,992.3600746268656,770.1676646706587,1004.4563552833079,969.440329218107
2018,1081.0708661417323,1001.484295845998,1002.1689560439561,1027.9167464114832,991.7391037446286,775.8546511627907,1001.8952095808384,969.1155378486055
2019,1080.2868217054263,1003.8034274193549,1004.8036326250857,1029.834046600095,992.540293040293,782.7796610169491,1004.9479166666666,972.1713147410359
2020,1077.753846153846,1005.246740220662,1005.4496415158757,1031.0533018867925,992.5517867958813,781.6927374301677,1004.9437037037037,971.703557312253
