Calendar Year,ACT,WA,NSW,VIC,QLD,NT,SA,TAS
2015,14.324910057004002,14.731455602607891,14.997075774317508,14.215858109237498,14.066346422584258,12.983923163396069,14.510937071962347,14.18731717683881
2016,14.24540925879236,14.403340882825447,14.869951765674836,13.916917075184106,14.053203933390433,12.27422087762849,14.472308661127832,14.035040060159092
2017,14.91543494575824,14.229489288855271,14.63308563154691,13.785782069726636,13.61330720888452,12.61727192313783,14.268977339163152,13.677316143875379
2018,14.211351256333202,14.188917027701823,14.359187393187542,13.489779660926667,13.407222913984622,12.440067044940292,14.044560626665971,13.578490885998626
2019,13.867388620271605,14.26785776298448,14.210987647643595,13.426153007506237,13.3314292701771,11.65083780776586,13.970703583752105,13.215127934133514
2020,13.77642271106762,14.231622998976576,13.981416971561256,13.135286142497499,13.257211205980406,11.528888881346987,13.818109032334531,12.832380229828663
